Creator,Year,MonthText,Title,tags,url
John W. Roulac,1997,1,Hemp Horizons,1990s;GuestRoom1-6;Printed,http://cannabismuseum.com/omeka/api/items/1294
John W. Roulac,1997,1,Hemp Horizons,1990s;GuestRoom1-6;Printed,http://cannabismuseum.com/omeka/api/items/1343
John W. Roulac,1997,1,Hemp Horizons,1990s;GuestRoom1-6;Printed,http://cannabismuseum.com/omeka/api/items/1488
Tod H. Mikuriya,1997,1,Marijuana : Not Guilty As Charged,1990s;GuestRoom4-3;Printed,http://cannabismuseum.com/omeka/api/items/1612
M.C. Cooke,1997,1,The Seven Sisters of Sleep: The Celebrated Drug Classic,1990s;GuestRoom3-4;Printed,http://cannabismuseum.com/omeka/api/items/1718
Myron J. Stolaroff,1997,1,The Secret Chief: Conversations With a Pioneer of the Underground Psychedelic Therapy Movement,1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1719
John W. Roulac,1997,1,Hemp Horizons,1990s;GuestRoom1-6;Printed,http://cannabismuseum.com/omeka/api/items/1805
Myron J. Stolaroff,1997,1,The Secret Chief: Conversations With a Pioneer of the Underground Psychedelic Therapy Movement,1990s;GuestRoom4-4;Printed;Temp7/14New,http://cannabismuseum.com/omeka/api/items/2065
Christian Ratsch,1997,1,Plants of Love,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7856
John P. Morgan,1997,1,Marijuana Myths Marijuana Facts,1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1442
John P. Morgan,1997,1,Marijuana Myths Marijuana Facts,1990s;GuestRoom1-1;Printed,http://cannabismuseum.com/omeka/api/items/2081
Paul Devereux,1997,1,The long trip,1990s;GuestRoom3-4;Printed,http://cannabismuseum.com/omeka/api/items/1688
Wade Davis,1997,1,The Serpent And the Rainbow,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7674
Jeremy Narby,1997,1,"Le serpent cosmique, l'ADN et les origines du savoir",Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7832
Rowan Robinson,1997,1,The Hemp Manifesto,1990s;GuestRoom5-2;Printed,http://cannabismuseum.com/omeka/api/items/1255
Rowan Robinson,1997,1,The Hemp Manifesto,1990s;GuestRoom5-2;Printed,http://cannabismuseum.com/omeka/api/items/1284
Rowan Robinson,1997,1,The Hemp Manifesto,1990s;GuestRoom5-2;Printed,http://cannabismuseum.com/omeka/api/items/1670
Evan Keliner,1997,1,Grandpa's Marijuana Handbook: A User Guide for Ages 50 & Up,1990s;GuestRoom3-2;Printed,http://cannabismuseum.com/omeka/api/items/1689
Evan Keliner,1997,1,Grandpa's Marijuana Handbook: A User Guide for Ages 50 & Up,1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2019
Alex Constantine,1997,1,Virtual Government,HannahBkShelf-52;Printed,http://cannabismuseum.com/omeka/api/items/6134
R.U. Sirius,1997,1,Design For Dying,1990s;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7785
Dr. James B. Bakalar,1997,1,Psychedelic Drugs Reconsidered (Drug Policy Classics Reprints Series Number 1),1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1617
Peter McWilliams,1997,1,The Life 101 Quote Book,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/1667
John Thorndike,1997,1,Another Way Home: A Family's Journey Through Mental Illness,1990s;GuestRoom7-2;Mental Illness;Printed,http://cannabismuseum.com/omeka/api/items/1411
Tom Flowers,1997,1,Marijuana Flower Forcing,1990s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/2029
Rock and Roll Hall of Fame and Museum,1997,1,I Want to Take You Higher,Printed;Rock and Roll Hall of Fame;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7732
Chris Conrad,1997,1,Hemp for Health: The Nutritional and Medicinal Uses of the World's Most Extraordinary Plant,1990s;Cannabis;Cannabis Sativa;GuestRoom6-1;Printed;Sativa,http://cannabismuseum.com/omeka/api/items/1482
Chris Conrad,1997,1,Hemp for Health: The Nutritional and Medicinal Uses of the World's Most Extraordinary Plant,1990s;Cannabis;Cannabis Sativa;GuestRoom4-3;Printed;Sativa,http://cannabismuseum.com/omeka/api/items/1576
Chris Conrad,1997,1,Hemp for Health: The Nutritional and Medicinal Uses of the World's Most Extraordinary Plant,1990s;Cannabis;Cannabis Sativa;GuestRoom4-3;Printed;Sativa,http://cannabismuseum.com/omeka/api/items/2045
Rolling Stone Press,1997,1,Cobain,GuestRoom6-2;Printed,http://cannabismuseum.com/omeka/api/items/2174
Adele Getty,1997,1,A Sense of the Sacred: Finding Our Spiritual Lives Through Ceremony,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7699
Terence K. McKenna,1997,1,Sacred Mushroom Seeker,1990s;GuestRoom3-4;Printed,http://cannabismuseum.com/omeka/api/items/1534
Michael Besack,1997,1,Vocal Arts: The Hermeneutic Dimension,,http://cannabismuseum.com/omeka/api/items/6174
Terence K. McKenna,1997,1,Tributes to R. Gordon Wasson,Gordon Wasson;Mushrooms;Printed;R. Gordon Wasson;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7809
Hempworld,1997,1,Hemp Pages 97,1990s,http://cannabismuseum.com/omeka/api/items/2037
Hempworld,1997,1,Hemp Pages 97,1990s;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5821
Peter McWilliams,1997,1,Love 101 : To Love Oneself Is the Beginning of a Lifelong Romance (The Life 101 Series),1990s;GuestRoom1-2;Printed,http://cannabismuseum.com/omeka/api/items/1905
Ashleigh Talbot,1996,1,Beat Speak,Beat Generation;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7896
Rebecca Perry,1996,1,Marijuana Beer: How to Make Your Own Hi-Brew Beer,1990s,http://cannabismuseum.com/omeka/api/items/1605
Rebecca Perry,1996,1,Marijuana Beer: How to Make Your Own Hi-Brew Beer,1990s;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5780
Robert Crumb,1996,1,The Complete Crumb Comics Vol. 3: Starring Fritz the Cat,1990s;Cartoon;Cats;Comic;Printed;Robert Crumb;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7668
Stephen Gaskin,1996,1,Cannabis Spirituality: The 13 Guidelines for Sanity & Safety,1990s;GuestRoom1-3;Printed;Safety,http://cannabismuseum.com/omeka/api/items/1349
Baron Edward John Moreton Drax Plunkett Dunsany,1996,1,The hashish man and other stories,1990s;GuestRoom7-1;Hash;Hasheesh;Hashish;Printed,http://cannabismuseum.com/omeka/api/items/1774
Baron Edward John Moreton Drax Plunkett Dunsany,1996,1,The Hashish Man and Other Stories,1990s;GuestRoom7-1;Hash;Hasheesh;Hashish;Printed,http://cannabismuseum.com/omeka/api/items/1910
Baron Edward John Moreton Drax Plunkett Dunsany,1996,1,The Hashish Man and Other Stories,GuestRoom7-1;Hash;Hasheesh;Hashish;Printed,http://cannabismuseum.com/omeka/api/items/2232
Count Corti,1996,1,A History of Smoking,1990s;GuestRoom3-4;Printed,http://cannabismuseum.com/omeka/api/items/1976
Phyllis A. Balch,1996,1,"Prescription for Nutritional Healing: A Practical A-Z Reference to Drug-Free Remedies Using Vitamins, Minerals, Herbs & Food Supplements",1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1251
Richard Glen Boire,1996,1,Marijuana Law,1990s;GuestRoom2-1;Printed,http://cannabismuseum.com/omeka/api/items/2036
Wade Davis,1996,1,One River,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7673
Ed Rosenthal,1996,1,Why Marijuana Should Be Legal,1990s;GuestRoom3-2;Printed,http://cannabismuseum.com/omeka/api/items/1289
T. Coraghessan Boyle,1996,1,The Tortilla Curtain,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/1520
Edward F. Anderson,1996,1,Peyote: The Divine Cactus,1990s;Cactus;GuestRoom1-3;Printed,http://cannabismuseum.com/omeka/api/items/2066
Will Beifuss,1996,1,Psychedelic Source Book,1990s;Printed;Psychedelic;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7624
Paul Stamets,1996,1,Psilocybin Mushrooms of the World,1990s;GuestRoom3-6;Printed,http://cannabismuseum.com/omeka/api/items/1480
Charles Baudelaire,1996,1,Artificial Paradises,Baudelaire;Club des Hachichins;GuestRoom7-1;Poetry;Printed,http://cannabismuseum.com/omeka/api/items/2231
Jeremy Reed,1996,1,"Bitter Blue: Tranquillisers, Drugs, Dependency",Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7857
Peter McWilliams,1996,1,Ain't Nobody's Business If You Do,1990s;GuestRoom3-1;Printed,http://cannabismuseum.com/omeka/api/items/1298
Peter McWilliams,1996,1,Ain't Nobody's Business If You Do,1990s;GuestRoom3-1;Printed,http://cannabismuseum.com/omeka/api/items/1301
Peter McWilliams,1996,1,Ain't Nobody's Business If You Do,1990s;GuestRoom3-1;Printed,http://cannabismuseum.com/omeka/api/items/1308
Peter McWilliams,1996,1,Ain't Nobody's Business If You Do,1990s;GuestRoom3-1;Printed,http://cannabismuseum.com/omeka/api/items/1310
Jerry Capeci,1996,1,Gotti,1990s;GuestRoom3-1;Printed,http://cannabismuseum.com/omeka/api/items/1377
Peter McWilliams,1996,1,Ain't Nobody's Business If You Do,1990s;GuestRoom3-1;Printed,http://cannabismuseum.com/omeka/api/items/1930
Jim Keith,1996,1,Okbomb!,1990s;GuestRoom3-2;Printed,http://cannabismuseum.com/omeka/api/items/1709
Christine Dixon,1996,1,1968,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7678
Steven R. Donziger,1996,1,"The Real War on Crime: Report of the National Criminal Justice Commission, The",1990s,http://cannabismuseum.com/omeka/api/items/1661
Joe Pauker,1996,1,Get Lost!: The Cool Guide to Amsterdam,1990s;NewHo;Prnted,http://cannabismuseum.com/omeka/api/items/1275
James Berry,1996,1,International Directory of Hemp Products & Supplies,1990s;GuestRoom1-6;Printed,http://cannabismuseum.com/omeka/api/items/1807
John Hulme,1996,1,Baked Potatoes: a Pot Smoker's Guide to Film and Video,1990s;GuestRoom1-1;Printed,http://cannabismuseum.com/omeka/api/items/2041
Richard Lawrence Miller,1996,1,Drug Warriors and Their Prey,1990s;GuestRoom2-6;Printed,http://cannabismuseum.com/omeka/api/items/1214
A. Robert Lee,1996,1,The Beat Generation Writers,Beat Generation;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/2244
Rand Clifford,1996,1,Castling,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/1502
Tom Flowers,1996,1,Marijuana Herbal Cookbook: Recipes for Recreation and Health,1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2031
Arthur Wallace,1995,1,Soil Conditioners and Amendment Technologies Vol. I: Soil Amendments,1990s,http://cannabismuseum.com/omeka/api/items/1740
Arthur Wallace,1995,1,Soil Conditioners and Amendment Technologies Vol. I: Soil Amendments,1990s,http://cannabismuseum.com/omeka/api/items/5790
Jodi Cobb,1995,1,Geisha,1990s;GuestRoom6-2;Printed,http://cannabismuseum.com/omeka/api/items/1711
Rowan Robinson,1995,1,"The Great Book of Hemp: The Complete Guide to the Environmental, Commercial, and Medicinal Uses of the World's Most Extraordinary Plant",1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1603
Rowan Robinson,1995,1,"The Great Book of Hemp: The Complete Guide to the Environmental, Commercial, and Medicinal Uses of the World's Most Extraordinary Plant",1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2049
Philip D. Beidler,1995,1,Scriptures for a Generation: What We Were Reading in the '60s,1960s;1990s;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7623
Timothy Leary,1995,1,Surfing the Conscious Nets: A Graphic Novel,1990s;Comic;Comic Book;Computer Networks;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7777
Timothy Leary,1995,1,Surfing the Conscious Nets: A Graphic Novel,1990s;Comic;Comic Book;Computer Networks;Printed;SS-Horowitz Collection;SS-Previous Collection;Timothy Leary;Working-Leary,http://cannabismuseum.com/omeka/api/items/7778
David J. Brown,1995,1,Voices from the Edge: More Conversations for the New Millienium,Jerry Garcia;Philosophy;Printed;Psychology;Ram Dass;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7640
Gayle Delaney,1995,1,"The Dream Kit: An All-In-One Toolkit for Understanding Your Dreams/Includes Book, Tape & Cards",1990s;GuestRoom1-2;Printed,http://cannabismuseum.com/omeka/api/items/1651
Michael J. Norden,1995,1,Beyond Prozac: Antidotes for Modern Times,1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1616
Clark Heinrich,1995,1,Strange Fruit,1990s;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7729
Dan Steffan,1995,1,All-American Hippie Comix,1990s;Hippie,http://cannabismuseum.com/omeka/api/items/2096
Dan Steffan,1995,1,All-American hippie comix,1990s;HannahBkShelf-64;Hippie;Printed,http://cannabismuseum.com/omeka/api/items/5826
Alex Constantine,1995,1,Psychic Dictatorship in the U.S.A.,HannahBkShelf-52;Printed,http://cannabismuseum.com/omeka/api/items/6132
Joe Pauker,1995,1,Get Lost!: The Cool Guide to Amsterdam,1990s;GuestRoom7-2;Printed,http://cannabismuseum.com/omeka/api/items/1272
H. Bradford Westerfield,1995,1,"Inside Cia's Private World: Declassified Articles From The Agency`s Internal Journal, 1955-1992",1990s;GuestRoom1-5;Printed,http://cannabismuseum.com/omeka/api/items/1398
Bart Nagel,1995,1,Cyberpunk Handbook: The Real Cyberpunk Fakebook,1990s;Computer Hackers;Computer Networks;Cyberpunk;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7754
Peter McWilliams,1995,1,How To Heal Depression,1990s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1306
Joel Selvin,1995,1,"Summer of Love: The Inside Story of LSD, Rock & Roll, Free Love and High Times (Plume Books)",1990s;GuestRoom6-2;LSD;Printed;Psychedelic,http://cannabismuseum.com/omeka/api/items/1487
Kenn Thomas,1995,1,Popular Alienation,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7898
Richard Lawrence Miller,1995,1,Nazi Justiz: Law of the Holocaust,1940s;1990s;Germany;GuestRoom2-1;Jews;Law;Nazi;Printed,http://cannabismuseum.com/omeka/api/items/1653
Terry H. Kovel,1995,1,Kovel's Dictionary of Marks,1990s;GuestRoom6-1;Printed,http://cannabismuseum.com/omeka/api/items/1957
Marion Dane Bauer,1995,1,Am I Blue?,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/2005
Merriam-Webster,1995,1,Merriam-Webster's Medical Dictionary,1990s;GuestRoom4-1;Printed,http://cannabismuseum.com/omeka/api/items/1379
Judy Osburn  Lynn.,1995,1,Green Gold the Tree of Life: Marijuana in Magic and Religion,1990s;GuestRoom3-4;Printed,http://cannabismuseum.com/omeka/api/items/1429
Prof John Miller,1995,1,White Rabbit: A Psychedelic Reader,1990s;Printed;Psychedelic;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7822
Prof John Miller,1995,1,White Rabbit: A Psychedelic Reader,1990s;Printed;Psychedelic;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7823
Terry Anderson,1995,1,Den of Lions: A Startling Memoir of Survival and Triumph,1990s;Autobiography;Biography;GuestRoom1-5;Printed,http://cannabismuseum.com/omeka/api/items/1478
John-Roger,1995,1,You Can't Afford the Luxury of a Negative Thought (The Life 101 Series),1990s;GuestRoom1-2;Printed,http://cannabismuseum.com/omeka/api/items/1680
Linda Benmour,1995,1,The Bead Directory: The Most Comprehensive Collection of Bead Sources Available,1990s;GuestRoom6-1;Printed,http://cannabismuseum.com/omeka/api/items/1745
Mark Hertsgaard,1995,1,A Day in the Life: The Music and Artistry of the Beatles,1960s;1990s;Beatles;England;GuestRoom6-2;John Lennon;Music;Printed,http://cannabismuseum.com/omeka/api/items/1746
David Smith,1995,1,Drug Testing at Work: A Guide for Employers and Employees,1990s;GuestRoom5-2;Printed,http://cannabismuseum.com/omeka/api/items/1452
Jade Beutler,1995,1,Understanding Fats & Oils,1990s;GuestRoom4-1;Printed,http://cannabismuseum.com/omeka/api/items/1199
Berit M. Lakey,1995,1,Grassroots and nonprofit leadership,1990s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1499
Michael J. Walsh,1995,1,Seal!: From Vietnam's Phoenix Program to Central America's Drug Wars,1970s;1990s;CIA;GuestRoom2-1;Printed;Vietnam;Vietnam War,http://cannabismuseum.com/omeka/api/items/1735
Howard Rheingold,1994,1,The Millennium Whole Earth Catalog,1990s;GuestRoom4-1;Printed,http://cannabismuseum.com/omeka/api/items/1249
Earl Mindell,1994,1,Dr. Earl Mindell's Live Longer & Feel Better With Vitamins & Minerals,1990s;GuestRoom4-1;Printed,http://cannabismuseum.com/omeka/api/items/1427
Peter McWilliams,1994,1,Do It! Let's Get Off Our Buts,GuestRoom1-2;Printed,http://cannabismuseum.com/omeka/api/items/2166
Willie Nelson,1994,1,Hemp Today,1990s;GuestRoom5-3;NewHo;Printed;Prnted;TempREREScan;TempREscan,http://cannabismuseum.com/omeka/api/items/1211
Willie Nelson,1994,1,Hemp Today,1990s,http://cannabismuseum.com/omeka/api/items/1415
Willie Nelson,1994,1,Hemp Today,1990s;GuestRoom5-2;Printed,http://cannabismuseum.com/omeka/api/items/1537
Willie Nelson,1994,1,Hemp Today,1990s,http://cannabismuseum.com/omeka/api/items/1761
Willie Nelson,1994,1,Hemp Today,1990s;GuestRoom5-2;Printed,http://cannabismuseum.com/omeka/api/items/1985
Willie Nelson,1994,1,Hemp Today,1990s;GuestRoom5-2;Hemp;Printed,http://cannabismuseum.com/omeka/api/items/2028
Willie Nelson,1994,1,Hemp Today,1990s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/2070
Nick Bantock,1994,1,Kubla Khan: A Pop-Up Version of Coleridge's Classic,1990s;China;Opium;Poetry;Pop-Up Book;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7617
Nick Bantock,1994,1,Kubla Khan: A Pop-Up Version of Coleridge's Classic,1990s;China;Opium;Poetry;Pop-Up Book;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7618
Bao Ninh,1994,1,The Sorrow Of War,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/1716
Chris Conrad,1994,1,Hemp: Lifeline to the Future,1990s;Agriculture;Economic Impact;Environmental Impact;GuestRoom5-1;Hemp;Hemp Industries;Legalization;Marijuana;Printed,http://cannabismuseum.com/omeka/api/items/1274
Chris Conrad,1994,1,Hemp: Lifeline to the Future,1990s;Agriculture;Economic Impact;Environmental Impact;GuestRoom5-1;Hemp;Hemp Industries;Legalization;Marijuana;Printed,http://cannabismuseum.com/omeka/api/items/1287
David C. Gross,1994,1,English-Yiddish Yiddish-English Dictionary: Romanized (Hippocrene Practical Dictionary),1990s;GuestRoom3-6;Printed,http://cannabismuseum.com/omeka/api/items/1302
Chris Conrad,1994,1,Hemp: Lifeline to the Future,1990s;Agriculture;Economic Impact;Environmental Impact;GuestRoom5-1;Hemp;Hemp Industries;Legalization;Marijuana;Printed,http://cannabismuseum.com/omeka/api/items/1333
Vicki Marshall,1994,1,Chaos & Cyber Culture,1990s;GuestRoom1-5;Printed,http://cannabismuseum.com/omeka/api/items/1622
Neil S. Wood,1994,1,Smoking Collectibles,1990s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1977
Chris Conrad,1994,1,Hemp: Lifeline to the Future,1990s;Agriculture;Economic Impact;Environmental Impact;GuestRoom5-1;Hemp;Hemp Industries;Legalization;Marijuana;Printed,http://cannabismuseum.com/omeka/api/items/2062
Chris Conrad,1994,1,Hemp: Lifeline to the Future,1990s;Agriculture;Economic Impact;Environmental Impact;HannahBkShelf-33;Hemp;Hemp Industries;Legalization;Marijuana;Printed,http://cannabismuseum.com/omeka/api/items/6346
Chris Conrad,1994,1,Hemp: Lifeline to the Future,1990s;Agriculture;Economic Impact;Environmental Impact;HannahBkShelf-33;Hemp;Hemp Industries;Legalization;Marijuana;Needs Photo;Printed,http://cannabismuseum.com/omeka/api/items/6347
William J. Glass,1994,1,LSD,1990s;Hallucinogenic Drugs;LSD;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7730
Lee Harris,1994,1,"The Best of Home Grown: An Anthology of Art and Articles from Europe's First Magazine Devoted to Cannabis and the Psychedelic Experience, 1977-81",1990s;HannahBkShelf-85;Needs Photo;Politics;Printed;Vote,http://cannabismuseum.com/omeka/api/items/1247
Lee Harris,1994,1,"The Best of Home Grown: An Anthology of Art and Articles from Europe's First Magazine Devoted to Cannabis and the Psychedelic Experience, 1977-81",1990s;HannahBkShelf-64;Politics;Printed;Vote,http://cannabismuseum.com/omeka/api/items/5726
Mary W. Cornog,1994,1,Merriam-Webster's Vocabulary Builder,1990s;GuestRoom3-6;Printed,http://cannabismuseum.com/omeka/api/items/1681
Wynn Kapit,1994,1,Milady's Theory & Practice of Therapeutic Massage Workbook,1990s;NewHo;Prnted,http://cannabismuseum.com/omeka/api/items/1174
Edward N. Siguel,1994,1,Essential fatty acids in health and disease,1990s;Food and Drug Administration;GuestRoom4-1;Printed,http://cannabismuseum.com/omeka/api/items/1201
Mark Greer,1994,1,The Drug Solution: How We Can Use the Profits from Illicit Drug Sales to Solve Every Major Problem Faced by Our Society Today,1990s;GuestRoom2-6;Printed,http://cannabismuseum.com/omeka/api/items/2063
Anne Gilbert,1994,1,60's and 70's,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7701
Jim Dekorne,1994,1,"Psychedelic Shamanism: The Cultivation, Preparation & Shamanic Use of Psychoactive Plants",Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7676
Terence Mckenna,1994,1,"Mind, Hallucinogens, and the I Ching",1990s;Printed;SS-Horowitz Collection;SS-Previous Collection;Terence McKenna;Working-Leary,http://cannabismuseum.com/omeka/api/items/7807
Terence Mckenna,1994,1,"Mind, Hallucinogens, and the I Ching",1990s;Printed;SS-Horowitz Collection;SS-Previous Collection;Terence McKenna;Working-Leary,http://cannabismuseum.com/omeka/api/items/7808
Grinspoon,1994,1,Marijuana Reconsidered,1990s;GuestRoom2-4;Printed,http://cannabismuseum.com/omeka/api/items/1550
Grinspoon,1994,1,Marijuana Reconsidered,1990s;GuestRoom2-4;Printed,http://cannabismuseum.com/omeka/api/items/2012
Thomas Lyttle,1994,1,Psychedelics,1990s;Printed;TempREREScan;TempREscan,http://cannabismuseum.com/omeka/api/items/1121
Gail Holst  Gail Holst-Warhaft,1994,1,Road to Rembetika,Greece,http://cannabismuseum.com/omeka/api/items/2254
Gail Holst  Gail Holst-Warhaft,1994,1,Road to Rembetika,Greece,http://cannabismuseum.com/omeka/api/items/5867
Gunther M. Weil,1994,1,Classic Selections from The Psychedelic Review,Gunther M. Weil;Hallucinogenic Drugs;Printed;SS-Horowitz Collection;SS-Previous Collection;The Psychedelic Review;Working-Leary,http://cannabismuseum.com/omeka/api/items/7911
Tobias Schneebaum,1994,1,Keep the River on Your Right,1990s;Cabinet 7 Row 3;GuestRoom7-3;Printed,http://cannabismuseum.com/omeka/api/items/1638
Mike Dringenberg,1994,1,The Sandman Vol. 4,1990s;GuestRoom6-1;Printed,http://cannabismuseum.com/omeka/api/items/1604
Automobile Association,1994,1,Baedeker's Turkey,1990s;NewHo;Prnted,http://cannabismuseum.com/omeka/api/items/1353
Myron J. Stolaroff,1994,1,Thanatos to Eros,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7891
Bruce Eisner,1993,1,Ecstasy,Ecstasy;HannahBkShelf-52;MDMA;Printed,http://cannabismuseum.com/omeka/api/items/6138
William Brandon,1993,1,The American Heritage Book of Indians,1990s;Cabinet 7 Row 3;GuestRoom7-3;Printed,http://cannabismuseum.com/omeka/api/items/1245
Michael Moore,1993,1,Medicinal Plants of the Pacific West,1990s;GuestRoom4-2;Printed,http://cannabismuseum.com/omeka/api/items/1588
Gordon Lish,1993,1,Zimzum,1990s;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7794
Paul Krassner,1993,1,"Confessions of a Raving, Unconfined Nut",Abbie Hoffman;Comedy;Groucho Marx;Lenny Bruce;LSD;Norman Mailer;Paul Krassner;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary;Yippie,http://cannabismuseum.com/omeka/api/items/7761
Laura Kavanau-Levine,1993,1,The Big White Lie,1990s;GuestRoom2-6;Printed,http://cannabismuseum.com/omeka/api/items/1148
Allen Ginsberg,1993,1,Allen Ginsberg's Photographic Memoir of the Beat Era,Allen Ginsberg;Autobiography;Beat Generation;Biography;Jack Kerouac;Lawrence Ferlinghetti;Lou Reed;Norman Mailer;Photography;Photos;Printed;SS-Horowitz Collection;SS-Previous Collection;Timothy Leary;William S. Burroughs;Working-Leary,http://cannabismuseum.com/omeka/api/items/7707
J. Sebastian Orfali,1993,1,Brain Boosters: Foods & Drugs That Make You Smarter,1990s;GuestRoom4-1;Printed,http://cannabismuseum.com/omeka/api/items/1325
Dr. James B. Bakalar,1993,1,"Marihuana, the Forbidden Medicine",1990s;GuestRoom4-3;Marihuana;Marijuana;NewHo;Printed;Prnted;TempREREScan;TempREscan,http://cannabismuseum.com/omeka/api/items/1242
Dr. James B. Bakalar,1993,1,"Marihuana, the Forbidden Medicine",1990s;GuestRoom4-3;Marihuana;Marijuana;NewHo;Printed;Prnted,http://cannabismuseum.com/omeka/api/items/1974
Guy Mount,1993,1,The Marijuana Mystery,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/1335
Guy Mount,1993,1,The Marijuana Mystery,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/2056
Guy Mount,1993,1,The Marijuana Mystery,1990s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/2084
Oss & Oeric,1993,1,Psilocybin: Magic Mushroom Grower's Guide: A Handbook for Psilocybin Enthusiasts,1990s;GuestRoom1-4;Printed,http://cannabismuseum.com/omeka/api/items/1817
David Mcclintick,1993,1,"SWORDFISH: A True Story of Ambition, Savagery, and Betrayal",1990s;GuestRoom2-7;Printed,http://cannabismuseum.com/omeka/api/items/1149
Anais Nin,1993,1,Collages,1990s;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7836
